,Unnamed: 0.1,Unnamed: 0,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,cluster
122405,122405,122406,26,0,0,9,0,3,33,59,22,43,4,0,11,0,0,23,5,4,0,1
151413,151413,151414,74,12,16,97,32,40,125,97,89,84,27,25,54,0,0,14,0,12,8,3
29826,29826,29827,164,38,44,371,64,114,382,372,443,378,76,72,113,5,6,40,14,24,8,4
96876,96876,96877,113,10,16,46,29,18,33,111,18,47,17,11,55,0,0,3,3,10,0,0
133371,133371,133372,129,25,32,87,42,45,99,137,41,82,15,15,73,12,2,17,21,0,0,3
156531,156531,156532,74,0,0,60,59,61,344,160,133,233,94,70,75,47,0,30,3,8,0,3
158535,158535,158536,17,0,0,70,12,31,131,26,58,32,0,13,9,16,0,6,0,0,0,3
2713,2713,2714,18,9,9,54,9,35,67,15,26,28,0,12,11,0,0,10,5,0,0,2
137026,137026,137027,13,9,0,24,10,8,81,22,47,48,8,17,19,12,0,16,0,0,0,3
58980,58980,58981,133,33,40,256,70,127,534,162,188,190,71,76,84,0,0,69,11,30,15,4
147209,147209,147210,559,131,182,710,270,267,815,831,508,865,307,270,386,44,19,94,38,34,5,3
130380,130380,130381,76,36,19,94,60,67,322,71,97,113,8,33,69,27,167,37,8,4,8,1
142309,142309,142310,48,66,116,450,75,447,501,56,202,175,11,151,0,5,0,44,221,5,39,3
144198,144198,144199,83,30,21,41,28,13,36,89,23,36,3,17,60,75,0,4,4,5,0,3
130369,130369,130370,55,26,37,159,28,111,176,62,72,113,8,7,17,11,4,8,12,4,0,1
14180,14180,14181,144,42,41,92,56,46,152,161,66,103,23,29,102,48,0,15,19,4,3,2
99046,99046,99047,72,12,11,176,29,86,322,130,185,142,12,48,36,0,16,49,7,14,16,0
146954,146954,146955,35,24,27,49,28,26,45,28,21,23,10,5,23,9,0,6,0,5,0,3
28659,28659,28660,44,19,31,80,27,18,40,32,22,18,0,14,9,0,0,5,11,5,0,4
87382,87382,87383,28,7,12,28,3,10,44,24,25,30,8,0,11,7,0,8,7,0,0,0
7923,7923,7924,37,8,8,25,18,13,52,54,24,44,6,19,40,12,0,4,0,4,0,2
119245,119245,119246,18,5,18,71,17,108,111,6,11,11,0,10,3,0,0,8,29,3,0,1
142270,142270,142271,234,38,53,279,81,59,342,343,216,374,97,120,311,84,21,54,11,8,11,3
62932,62932,62933,43,0,0,17,45,8,22,47,4,24,8,0,15,6,0,0,5,0,0,4
103370,103370,103371,63,19,18,142,47,128,341,35,106,76,12,52,28,3,28,30,12,4,29,1
101905,101905,101906,32,5,0,24,4,14,27,44,4,23,9,0,35,4,4,1,0,0,0,1
61376,61376,61377,37,2,22,52,25,24,116,17,27,50,9,23,42,0,0,16,6,0,7,4
30317,30317,30318,6,0,0,53,9,58,39,2,1,6,0,1,0,0,0,4,0,0,0,4
126084,126084,126085,16,0,2,10,7,7,58,33,28,23,4,4,8,7,3,19,0,4,0,1
9801,9801,9802,71,13,9,68,36,7,82,91,42,77,28,34,29,9,22,29,18,5,3,2
157451,157451,157452,47,6,25,54,37,34,86,22,9,58,18,33,25,0,0,0,7,5,0,3
143612,143612,143613,31,8,14,51,13,49,76,53,26,64,8,16,24,7,0,9,8,6,0,3
112139,112139,112140,21,6,10,33,6,16,56,38,42,61,6,11,19,6,0,12,6,3,0,1
35302,35302,35303,45,10,11,19,3,11,31,37,0,17,10,6,35,3,4,0,11,0,0,4
120619,120619,120620,13,4,8,31,11,16,39,14,20,18,0,5,8,0,0,0,4,0,0,1
161368,161368,161369,58,11,17,49,30,34,67,84,29,74,8,5,33,10,0,14,5,2,0,3
120199,120199,120200,268,70,66,186,115,152,656,290,258,330,39,158,184,114,8,98,8,44,14,1
90348,90348,90349,121,25,36,190,60,198,504,160,149,163,18,40,81,22,51,56,34,7,0,0
31925,31925,31926,29,13,9,43,26,21,44,26,31,32,4,23,7,0,0,4,1,0,8,4
28066,28066,28067,24,10,13,21,10,14,34,27,16,22,8,0,11,7,0,11,10,11,0,4
59474,59474,59475,387,119,135,901,186,325,808,611,389,680,180,208,325,21,24,90,63,24,13,4
95405,95405,95406,24,2,2,12,13,12,72,43,48,40,9,11,22,7,0,10,0,0,0,0
151357,151357,151358,108,6,31,213,68,230,634,136,140,167,9,115,30,3,22,110,21,15,35,3
117966,117966,117967,477,190,154,286,230,146,285,455,97,203,64,38,398,59,0,21,26,13,8,1
3087,3087,3088,73,12,14,42,11,30,81,73,29,47,4,18,40,12,0,27,3,2,0,2
136977,136977,136978,58,4,24,154,25,126,200,109,84,129,5,18,31,4,4,11,4,11,0,3
114653,114653,114654,221,63,73,215,87,107,175,197,81,110,19,21,127,41,4,18,26,5,7,1
43107,43107,43108,28,14,14,43,0,32,77,39,33,44,0,22,47,28,0,8,0,4,0,4
151842,151842,151843,22,14,14,20,13,27,64,18,15,27,0,14,12,10,3,8,0,0,0,3
56251,56251,56252,58,6,6,81,12,45,116,87,46,102,20,20,57,6,0,18,3,3,0,4
75283,75283,75284,567,190,193,492,281,258,589,533,188,297,41,104,418,196,0,46,18,12,0,0
32986,32986,32987,51,1,4,36,2,15,53,52,5,57,47,17,142,0,0,14,0,0,0,4
102479,102479,102480,116,23,40,368,73,317,760,115,245,241,56,129,77,8,27,101,48,54,100,1
50580,50580,50581,90,19,27,26,57,16,62,44,6,27,3,14,29,38,0,6,0,0,0,4
52530,52530,52531,32,0,4,47,8,25,51,43,22,45,0,10,19,0,0,5,4,0,0,4
115232,115232,115233,76,23,40,272,68,51,96,109,89,71,9,23,24,22,6,12,21,4,5,1
119000,119000,119001,66,12,33,213,54,143,395,67,94,98,39,77,69,0,19,52,34,9,28,1
3951,3951,3952,62,17,11,49,47,35,30,55,25,35,3,9,34,4,0,4,2,4,0,2
55811,55811,55812,106,70,99,147,43,66,144,88,56,53,23,8,117,6,0,10,175,73,8,4
2888,2888,2889,232,104,31,381,137,135,297,295,88,188,46,59,308,67,5,37,26,23,0,2
6245,6245,6246,15,9,12,81,5,40,123,3,26,14,2,7,10,0,0,10,0,6,0,2
54173,54173,54174,37,2,0,56,9,26,128,100,100,117,17,43,42,12,0,15,0,0,4,4
129144,129144,129145,103,3,19,55,18,27,138,147,68,151,42,73,146,0,0,18,2,47,12,1
116200,116200,116201,6,3,9,20,6,6,18,10,1,21,4,4,11,0,0,0,7,0,0,1
115241,115241,115242,15,0,12,37,13,14,59,13,4,14,2,2,19,0,0,6,1,2,3,1
42742,42742,42743,22,5,11,35,11,8,25,49,13,48,17,16,43,5,0,4,0,0,4,4
35137,35137,35138,5,0,0,31,2,20,48,10,10,13,9,5,1,0,0,12,2,0,0,4
72896,72896,72897,68,14,19,270,71,138,255,64,90,119,91,40,39,20,0,5,68,0,0,0
24740,24740,24741,11,0,0,88,0,60,160,12,37,29,0,7,3,0,4,7,7,0,3,4
30494,30494,30495,297,25,81,675,121,286,522,567,352,428,38,84,170,9,1,71,24,60,5,4
81896,81896,81897,24,0,2,129,9,46,171,35,25,66,18,13,12,0,3,11,0,0,4,0
37032,37032,37033,91,14,15,68,23,20,87,108,61,64,7,14,50,19,0,11,3,3,3,4
133742,133742,133743,155,33,37,182,40,46,123,332,155,239,17,20,98,34,0,17,0,0,0,3
28203,28203,28204,0,0,0,47,0,49,129,3,33,21,4,9,0,0,0,3,0,4,5,4
11750,11750,11751,76,28,38,124,56,55,124,78,64,78,39,31,50,0,0,24,18,10,0,2
133240,133240,133241,137,60,131,273,99,201,382,109,77,164,18,46,75,11,0,31,65,21,5,3
122334,122334,122335,39,18,14,106,11,48,227,62,85,100,14,48,22,4,2,36,12,5,4,1
155784,155784,155785,150,20,14,59,62,27,40,237,49,134,25,25,80,31,0,0,7,4,0,3
114880,114880,114881,146,3,15,111,42,43,127,196,66,112,15,16,96,0,0,21,3,38,0,1
60203,60203,60204,41,12,0,46,11,60,169,63,76,106,13,51,34,7,0,35,0,3,14,4
104498,104498,104499,16,0,0,19,9,17,52,27,11,29,12,8,16,5,0,6,0,0,0,1
149375,149375,149376,79,14,37,109,38,107,168,108,85,127,28,33,36,5,0,22,24,8,5,3
63700,63700,63701,3,0,0,64,7,29,21,28,17,11,4,1,2,0,4,2,4,0,0,0
65385,65385,65386,63,20,15,37,33,40,92,45,4,44,7,15,44,6,0,16,0,0,0,0
71253,71253,71254,35,0,0,90,15,114,328,43,76,54,2,32,15,1,20,55,12,12,4,0
103472,103472,103473,109,23,27,21,35,8,53,140,56,73,7,12,72,33,0,12,0,4,4,1
1741,1741,1742,19,3,3,15,9,15,28,29,9,14,7,7,16,0,0,6,0,0,0,2
123191,123191,123192,52,11,26,49,18,34,51,62,29,42,0,7,17,6,0,14,11,3,0,1
15512,15512,15513,145,28,37,329,81,199,414,202,156,194,32,66,78,3,40,55,16,20,13,2
55539,55539,55540,231,35,33,277,51,163,780,381,374,473,27,165,116,37,15,126,10,36,21,4
16762,16762,16763,24,7,23,109,25,106,210,36,44,55,0,25,24,7,3,3,13,0,8,2
114536,114536,114537,15,0,0,34,6,23,43,31,19,25,4,10,30,3,0,0,3,0,3,1
137832,137832,137833,36,9,15,72,12,27,75,48,51,56,4,24,16,7,9,6,3,0,4,3
68530,68530,68531,27,14,19,22,9,12,71,29,24,48,13,13,39,21,0,10,5,0,0,0
36251,36251,36252,83,15,15,65,41,43,102,90,51,67,4,34,84,29,0,0,6,0,0,4
144030,144030,144031,49,15,16,131,11,32,208,141,172,125,7,17,17,19,22,19,13,4,0,3
46971,46971,46972,69,24,11,69,51,65,209,101,124,155,19,59,56,16,0,33,0,0,8,4
117814,117814,117815,23,5,5,86,7,25,155,31,74,150,30,135,18,0,0,0,0,4,32,1
22480,22480,22481,28,8,8,25,4,9,35,29,12,33,4,0,8,8,0,14,8,5,0,2
16246,16246,16247,314,25,42,455,103,234,586,354,184,304,161,90,391,0,5,88,28,48,34,2
60572,60572,60573,114,66,87,126,77,92,108,53,18,37,0,11,25,44,0,9,15,0,0,4
80231,80231,80232,13,4,4,25,14,16,17,10,5,21,6,7,22,3,1,4,0,0,0,0
120719,120719,120720,26,8,7,46,4,20,51,29,28,30,0,4,25,0,0,11,0,0,0,1
104415,104415,104416,50,4,7,14,11,12,15,58,4,43,0,6,22,0,0,0,3,0,0,1
107093,107093,107094,248,72,56,208,70,102,282,443,170,354,68,69,250,10,0,47,10,11,2,1
16572,16572,16573,34,19,31,47,19,35,82,23,18,34,4,4,6,13,0,18,14,4,0,2
149664,149664,149665,71,17,29,84,26,45,69,67,53,49,0,0,41,12,0,5,8,0,0,3
130256,130256,130257,79,32,35,37,37,34,93,71,31,27,4,12,31,28,0,17,11,8,0,1
93617,93617,93618,334,73,87,296,110,193,526,456,149,246,32,73,356,42,0,115,42,74,22,0
160620,160620,160621,82,20,23,69,40,57,109,78,49,52,5,28,41,11,0,18,9,3,0,3
49080,49080,49081,72,8,21,104,30,143,303,71,69,57,17,32,49,0,12,52,8,7,5,4
91986,91986,91987,126,10,62,216,109,207,160,64,8,64,11,19,70,52,0,0,26,0,0,0
96163,96163,96164,7,0,0,26,11,7,48,12,24,39,20,14,13,4,0,4,3,4,9,0
46808,46808,46809,8,0,5,51,2,18,31,21,26,28,3,5,8,0,0,0,7,0,0,4
7534,7534,7535,31,14,21,68,7,39,77,36,25,43,7,2,8,5,0,8,9,11,0,2
139796,139796,139797,105,4,12,103,27,94,287,167,119,190,50,50,74,11,0,41,10,4,1,3
8864,8864,8865,240,42,45,339,114,207,813,307,328,367,60,171,205,58,24,110,39,55,29,2
87808,87808,87809,88,34,37,289,58,193,358,138,124,197,34,63,97,2,5,6,27,10,16,0
5354,5354,5355,11,4,4,41,6,3,62,14,24,19,6,8,8,0,0,7,0,0,0,2
127370,127370,127371,107,19,27,459,61,284,567,160,177,208,47,62,97,11,19,27,43,10,8,1
140898,140898,140899,31,8,10,62,14,32,56,23,4,12,5,13,11,0,0,10,0,0,0,3
65915,65915,65916,26,3,3,40,14,39,57,52,14,31,8,9,9,0,0,42,3,0,0,0
107249,107249,107250,13,0,0,66,14,23,76,30,43,54,8,5,7,0,0,8,0,5,0,1
16816,16816,16817,77,16,16,189,81,83,282,67,88,118,59,52,83,19,30,10,24,0,4,2
62479,62479,62480,184,40,44,85,74,8,25,202,21,27,5,8,104,32,0,8,4,0,0,4
32181,32181,32182,33,4,9,34,17,26,18,36,5,38,0,6,11,0,0,0,5,0,0,4
129005,129005,129006,144,13,29,347,51,165,594,225,253,299,53,113,90,3,9,72,22,36,41,1
90988,90988,90989,24,2,4,23,10,2,31,27,24,29,3,5,9,0,0,0,2,0,0,0
139057,139057,139058,19,3,8,140,23,42,68,35,42,37,14,6,20,0,22,10,14,0,0,3
75515,75515,75516,20,0,0,30,5,35,140,55,95,65,0,25,20,15,0,15,5,0,0,0
88694,88694,88695,105,48,85,149,82,76,153,80,16,48,6,8,61,42,5,12,48,3,0,0
138004,138004,138005,266,5,27,442,83,202,638,491,285,502,139,108,197,5,11,108,21,67,21,3
58388,58388,58389,52,16,27,99,21,69,136,91,56,107,10,20,21,8,1,25,13,11,0,4
113035,113035,113036,22,25,25,53,21,17,21,5,13,12,5,5,6,0,10,17,21,0,5,1
149419,149419,149420,232,64,36,163,96,79,505,306,186,260,20,83,159,116,52,52,15,24,7,3
17953,17953,17954,32,10,20,89,16,33,50,38,30,70,10,17,22,0,0,0,10,0,0,2
54667,54667,54668,24,0,0,36,0,22,50,42,22,43,0,6,11,0,0,11,0,0,0,4
155333,155333,155334,56,19,11,76,34,31,105,62,71,48,5,20,56,33,0,15,0,0,0,3
36907,36907,36908,247,104,91,165,93,74,355,241,124,197,6,66,163,88,4,47,4,13,5,4
99425,99425,99426,36,11,11,17,3,11,45,50,25,45,5,13,30,7,0,5,11,0,0,0
48476,48476,48477,60,7,34,167,36,114,197,65,41,66,7,8,20,7,0,38,7,19,0,4
70303,70303,70304,60,28,9,18,43,22,118,111,64,113,4,34,80,8,0,11,4,0,0,0
41007,41007,41008,59,3,3,78,25,17,133,78,105,87,24,30,42,4,0,27,6,5,1,4
40240,40240,40241,44,0,7,33,3,15,52,74,11,60,4,6,35,0,0,5,0,0,0,4
135303,135303,135304,65,18,24,49,15,31,63,78,31,53,4,4,48,3,0,4,14,7,0,3
75005,75005,75006,25,5,0,10,0,15,41,45,26,34,10,0,13,0,0,19,0,5,0,0
74475,74475,74476,24,12,12,60,12,25,38,23,12,18,7,7,9,9,0,0,9,0,0,0
64483,64483,64484,60,2,6,22,0,13,77,84,14,31,14,8,57,0,0,30,0,12,0,0
85197,85197,85198,18,13,13,27,7,43,144,21,26,28,0,4,4,10,0,35,0,0,0,0
148461,148461,148462,126,15,15,67,39,20,95,122,37,59,12,16,71,6,0,25,9,4,0,3
99598,99598,99599,15,4,2,21,4,5,18,35,4,16,4,3,21,0,0,11,2,2,0,0
145540,145540,145541,13,0,1,56,6,37,132,18,70,78,12,49,10,0,0,11,5,0,28,3
52609,52609,52610,240,74,93,415,164,184,387,197,108,172,18,82,240,71,28,13,58,9,8,4
64292,64292,64293,82,3,6,29,26,16,120,87,54,77,0,34,88,32,0,21,4,8,0,0
65359,65359,65360,32,8,8,65,25,132,114,39,17,22,3,14,21,6,0,16,7,0,0,0
130859,130859,130860,167,5,11,142,31,83,324,294,227,234,26,60,132,9,5,54,2,9,8,1
109453,109453,109454,70,6,11,47,42,89,212,100,71,119,0,56,87,21,6,3,0,0,0,1
153926,153926,153927,20,4,2,39,5,15,20,27,8,11,3,3,10,0,0,9,6,3,0,3
139720,139720,139721,10,0,0,112,6,95,80,27,29,33,0,12,2,0,9,5,0,0,0,3
78866,78866,78867,52,12,12,36,18,23,35,55,31,16,0,9,26,4,0,5,0,0,0,0
59069,59069,59070,5,0,10,25,7,34,101,8,8,15,2,8,9,0,0,5,0,0,0,4
36814,36814,36815,143,83,75,347,75,137,413,116,130,195,29,57,138,16,37,41,20,3,4,4
28111,28111,28112,307,28,34,225,140,64,281,344,147,223,40,84,231,157,0,27,5,32,5,4
41443,41443,41444,32,19,16,59,11,38,125,30,71,58,3,24,29,4,3,19,7,0,0,4
13600,13600,13601,396,88,189,1133,189,648,1489,253,208,366,158,197,418,8,42,110,243,30,82,2
26879,26879,26880,4,0,3,18,3,11,47,4,15,15,8,8,1,0,4,0,8,0,0,4
118323,118323,118324,329,141,133,552,183,173,331,311,184,205,36,79,244,76,0,36,29,18,3,1
45700,45700,45701,23,8,5,22,13,23,76,32,36,54,17,39,19,6,6,9,0,0,8,4
148308,148308,148309,121,5,5,105,26,36,221,297,110,189,67,23,108,17,4,58,7,4,0,3
20697,20697,20698,64,16,16,95,38,108,192,74,45,97,1,27,75,18,0,12,6,0,0,2
37756,37756,37757,27,0,0,39,6,12,161,68,131,126,14,54,43,21,0,9,0,4,3,4
62825,62825,62826,37,14,18,38,8,39,75,26,6,35,0,0,20,15,0,13,14,6,0,4
49011,49011,49012,655,109,154,1104,260,403,1503,1028,764,1053,210,256,467,124,48,168,47,96,34,4
39186,39186,39187,39,8,24,106,21,108,148,56,35,84,5,12,26,4,5,11,7,6,0,4
155325,155325,155326,85,8,3,26,24,25,50,85,29,40,12,7,61,8,0,10,0,0,0,3
78729,78729,78730,14,12,12,48,6,19,35,16,15,14,4,5,17,0,0,4,15,0,0,0
66441,66441,66442,198,109,104,82,98,64,78,200,29,94,20,0,138,84,0,10,40,5,0,0
7583,7583,7584,501,70,120,918,199,241,573,782,300,515,245,92,500,9,0,75,73,45,0,2
80247,80247,80248,94,90,122,214,74,205,180,90,44,68,23,33,56,17,0,42,124,5,0,0
158745,158745,158746,39,0,0,12,8,7,80,80,53,47,4,9,44,23,0,5,0,5,0,3
98597,98597,98598,135,57,123,194,75,118,163,117,31,84,14,17,48,8,0,9,62,16,0,0
98309,98309,98310,24,13,19,85,22,93,231,9,49,41,4,28,7,0,9,20,18,4,3,0
151360,151360,151361,33,19,33,61,20,49,106,46,36,89,12,21,15,6,0,11,19,6,0,3
94990,94990,94991,120,52,55,171,96,84,160,209,123,246,77,54,70,32,0,37,5,0,5,0
51398,51398,51399,34,0,3,36,7,9,32,59,20,45,10,8,34,4,0,5,0,0,0,4
67700,67700,67701,20,6,6,33,10,12,27,13,1,12,3,0,8,0,0,8,3,0,0,0
122433,122433,122434,177,19,55,387,88,99,284,340,190,245,60,52,118,5,0,53,27,25,0,1
3414,3414,3415,33,21,14,33,5,11,24,41,25,27,3,0,19,5,0,5,14,4,0,2
91932,91932,91933,1075,463,451,668,637,355,800,1117,257,654,255,162,734,378,5,107,155,13,2,0
142318,142318,142319,37,5,0,22,10,14,101,64,68,46,10,16,15,4,0,18,0,9,0,3
5512,5512,5513,22,5,7,45,11,4,7,26,3,27,6,2,16,0,0,0,3,0,0,2
114558,114558,114559,430,119,218,1209,223,350,996,651,453,693,208,164,253,8,5,71,114,41,13,1
1812,1812,1813,28,10,10,35,6,23,57,30,18,34,4,12,11,7,0,4,0,0,0,2
69661,69661,69662,38,7,15,89,13,44,116,33,36,15,5,7,20,0,0,5,12,0,0,0
58562,58562,58563,184,58,92,242,118,58,150,177,69,139,17,13,108,45,3,4,36,0,0,4
38166,38166,38167,53,74,56,59,65,21,24,35,0,20,25,5,14,26,0,0,18,0,0,4
49536,49536,49537,29,12,15,36,12,14,26,24,12,22,3,7,26,0,0,0,9,0,0,4
31451,31451,31452,24,3,4,22,10,0,17,26,13,12,1,6,16,3,0,0,0,8,0,4
34739,34739,34740,31,1,1,30,23,24,100,36,44,45,0,16,50,16,0,10,0,0,0,4
79362,79362,79363,48,31,37,64,29,25,66,49,44,35,8,8,32,4,2,20,9,0,5,0
67777,67777,67778,217,12,12,139,46,65,295,403,216,382,26,67,248,42,4,24,0,8,3,0
34565,34565,34566,29,29,22,49,20,38,93,30,14,42,29,19,24,7,0,0,26,0,0,4
93459,93459,93460,26,2,2,47,10,20,58,22,26,34,8,10,32,0,0,6,0,2,4,0
5428,5428,5429,34,13,22,43,10,27,65,29,25,52,4,5,10,13,0,16,13,5,0,2
94844,94844,94845,235,165,106,348,176,230,1080,288,390,487,115,270,259,52,0,66,24,38,48,0
60408,60408,60409,478,171,210,929,258,801,1569,433,383,509,88,220,251,55,53,146,175,25,49,4
73491,73491,73492,620,288,636,1628,346,424,503,533,175,204,114,42,237,16,5,54,166,51,0,0
46224,46224,46225,18,4,4,45,13,21,127,43,68,92,15,43,47,15,4,12,0,4,3,4
6048,6048,6049,29,6,6,21,3,15,32,36,24,44,5,0,16,7,0,6,6,3,0,2
155995,155995,155996,168,96,134,392,142,257,387,177,123,164,52,42,90,20,2,47,98,22,4,3
158477,158477,158478,9,8,13,74,10,69,67,20,9,11,4,5,5,3,0,7,19,0,0,3
160817,160817,160818,164,0,0,81,63,25,233,300,172,208,15,51,109,85,0,54,5,5,0,3
160012,160012,160013,0,5,0,53,10,45,115,4,31,28,0,18,12,7,0,5,0,0,0,3
131231,131231,131232,36,4,4,69,17,36,78,39,40,44,24,8,44,0,0,18,5,5,8,1
140174,140174,140175,36,0,8,87,15,38,54,25,18,16,0,0,25,0,0,0,0,0,0,3
1586,1586,1587,165,43,26,171,55,52,152,249,122,115,14,43,131,13,5,8,0,3,0,2
99682,99682,99683,131,22,27,285,61,112,374,289,165,369,112,116,206,0,0,9,9,8,7,0
124793,124793,124794,260,74,74,71,106,31,70,235,33,63,0,21,170,101,2,13,22,0,0,1
142403,142403,142404,33,0,0,3,12,0,25,50,19,29,3,10,24,19,4,4,0,0,0,3
100078,100078,100079,82,3,15,98,35,59,180,76,55,86,33,31,27,4,13,9,8,0,0,1
112955,112955,112956,349,65,105,736,153,218,660,617,352,543,146,138,405,10,0,107,46,47,14,1
112327,112327,112328,107,21,21,94,44,69,152,109,73,73,6,20,45,16,0,21,3,3,1,1
19454,19454,19455,271,68,144,433,131,215,468,371,181,365,81,58,171,13,3,63,79,31,0,2
92815,92815,92816,34,22,19,23,16,6,22,27,17,24,10,4,20,14,0,2,0,0,0,0
83584,83584,83585,20,10,14,92,16,37,79,30,40,29,1,5,11,1,0,5,10,5,0,0
13215,13215,13216,212,3,10,94,20,54,167,414,65,211,29,13,141,0,5,99,7,9,0,2
148351,148351,148352,38,26,23,65,11,6,79,37,29,59,29,22,36,0,0,0,9,5,0,3
134003,134003,134004,39,1,2,62,9,51,207,68,104,116,12,63,18,10,9,30,8,13,25,3
141664,141664,141665,39,11,19,53,14,40,64,36,11,28,0,5,11,3,0,9,6,9,0,3
52288,52288,52289,37,4,1,46,10,27,72,66,37,44,2,16,23,4,0,21,3,4,0,4
94061,94061,94062,100,8,16,132,40,100,282,139,91,86,13,18,37,5,6,64,27,19,4,0
159168,159168,159169,96,17,37,129,27,71,113,161,52,147,15,22,71,11,0,19,17,17,0,3
80943,80943,80944,15,4,12,45,5,67,120,15,4,11,0,5,7,0,0,10,0,3,0,0
8291,8291,8292,67,16,35,77,25,52,95,79,35,76,9,14,41,14,0,24,20,7,0,2
150250,150250,150251,40,10,17,54,14,20,71,57,47,75,3,13,23,6,0,17,6,3,0,3
138381,138381,138382,698,229,330,1070,448,470,875,1001,464,775,329,158,419,151,0,57,182,28,4,3
145130,145130,145131,67,12,32,167,36,84,114,106,44,89,11,9,43,5,0,13,12,18,0,3
114737,114737,114738,4,0,0,80,4,52,89,0,10,8,0,17,8,0,0,0,0,0,0,1
106439,106439,106440,114,57,61,142,52,104,167,130,54,79,28,13,110,13,0,40,37,8,0,1
10884,10884,10885,162,21,14,405,103,189,953,237,314,341,92,144,129,3,68,83,46,40,42,2
55712,55712,55713,14,0,0,10,6,4,79,29,64,47,4,24,8,9,0,12,0,4,5,4
116330,116330,116331,124,0,0,34,24,20,103,176,92,120,15,38,81,37,0,28,0,0,0,1
47063,47063,47064,56,15,17,37,22,19,107,76,58,100,27,39,64,1,0,13,6,5,0,4
119399,119399,119400,146,26,28,120,36,66,183,237,140,290,42,87,154,3,0,23,6,14,6,1
109235,109235,109236,2,5,0,46,1,23,29,13,11,9,6,7,4,0,0,0,6,0,0,1
31685,31685,31686,90,10,15,71,28,26,140,104,94,98,25,32,56,8,0,25,8,7,0,4
135497,135497,135498,25,3,3,144,8,104,167,32,42,45,0,22,10,0,0,8,5,5,5,3
115960,115960,115961,34,6,19,34,19,17,24,28,8,19,5,7,17,0,0,0,6,0,0,1
15600,15600,15601,36,37,26,50,59,42,82,38,24,28,9,11,16,7,0,8,9,0,4,2
133340,133340,133341,25,21,28,13,21,11,36,16,4,13,0,0,6,6,0,0,11,0,0,3
517,517,518,33,14,21,68,19,43,68,37,30,54,6,3,11,15,0,10,14,3,0,2
88445,88445,88446,224,56,54,148,86,83,359,257,148,223,25,79,193,95,0,38,8,4,7,0
19877,19877,19878,126,29,27,128,53,98,367,180,158,251,22,114,92,23,14,37,2,4,0,2
13677,13677,13678,17,3,14,110,17,54,71,8,16,7,3,6,10,0,2,7,6,4,0,2
111087,111087,111088,95,36,73,227,53,146,282,155,114,185,28,42,59,8,4,19,36,17,0,1
92000,92000,92001,1889,1232,1147,2012,1075,509,1217,1980,610,1222,377,397,1232,482,71,102,308,85,22,0
42545,42545,42546,28,13,17,31,7,18,43,32,27,42,5,3,4,12,0,9,13,0,0,4
33109,33109,33110,16,11,12,37,13,27,67,20,40,43,9,22,8,5,0,7,7,1,1,4
84116,84116,84117,221,59,134,912,155,385,447,192,92,148,83,61,334,0,5,54,89,9,13,0
117335,117335,117336,275,69,77,315,113,138,363,405,193,371,159,101,273,100,0,47,42,7,13,1
41258,41258,41259,175,17,45,154,83,90,256,173,116,201,93,76,113,0,5,51,39,5,27,4
22918,22918,22919,52,13,13,44,23,22,90,51,60,71,3,23,24,7,0,10,6,0,11,2
29820,29820,29821,377,107,92,231,152,53,199,366,78,164,54,55,262,98,1,34,40,13,4,4
141869,141869,141870,32,8,12,78,22,20,29,17,5,10,2,0,4,0,0,0,0,0,0,3
95389,95389,95390,10,2,2,38,0,4,100,49,62,64,0,16,18,8,0,24,0,5,0,0
1313,1313,1314,115,11,17,90,19,21,133,134,76,86,35,22,162,0,2,16,2,14,7,2
36733,36733,36734,445,65,54,195,184,71,302,722,208,437,108,61,391,198,0,53,12,10,5,4
97018,97018,97019,32,0,9,14,0,8,95,45,24,26,15,9,59,5,7,13,4,9,0,0
115081,115081,115082,504,118,170,503,186,144,475,668,259,520,120,130,404,112,11,64,55,24,9,1
35483,35483,35484,54,0,5,26,24,7,8,58,4,33,9,1,21,9,0,4,0,3,0,4
51448,51448,51449,59,20,33,101,35,56,120,60,45,80,6,16,18,7,0,4,17,3,0,4
46822,46822,46823,118,11,14,92,49,49,191,192,146,171,21,47,108,21,0,18,13,10,11,4
94641,94641,94642,64,13,15,139,35,91,208,132,82,165,38,63,77,5,0,30,3,1,6,0
106701,106701,106702,60,3,12,112,24,50,147,96,51,79,18,25,41,3,0,15,3,12,0,1
95927,95927,95928,144,11,7,59,60,7,160,236,102,184,47,55,192,60,7,13,4,13,5,0
97474,97474,97475,267,54,38,408,138,205,674,414,273,358,65,140,242,52,5,81,12,50,4,0
59619,59619,59620,285,120,163,1051,192,608,1312,393,597,680,130,375,188,34,14,97,106,45,16,4
107328,107328,107329,9,4,4,9,8,17,48,24,17,39,8,12,22,0,0,14,0,0,0,1
110419,110419,110420,6,2,2,21,3,13,46,23,39,36,5,0,12,1,0,6,3,0,0,1
109196,109196,109197,79,38,33,52,31,32,117,68,53,79,8,29,66,22,0,5,0,0,0,1
89007,89007,89008,52,21,34,132,28,41,139,96,77,130,51,34,61,13,0,10,16,13,0,0
133158,133158,133159,361,54,41,103,104,34,302,550,138,356,119,76,414,172,4,53,4,13,0,3
58444,58444,58445,3,0,0,24,3,9,26,12,7,17,1,11,7,0,0,0,0,3,0,4
